course_id,module_id,module_title,primary_track,tool_id,tool_title,tool_route,tool_type,relationship_type,use_context,practical_exercise_instruction,example_instruction,rationale,related_play_ids,related_play_titles
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,Template,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.,13,Monitor and Evaluate AI Systems
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,1,AI Vision & Principles Workshop,#/toolkit/1,Workshop,illustrative_example,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.,1,Vision & Guardrails
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,3,Equity Impact Assessment Checklist,#/toolkit/3,Checklist,illustrative_example,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11.",1; 2; 3; 7; 11,Vision & Guardrails; Readiness Assessment; Establish AI Governance; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,44,Performance Monitoring Dashboard,#/toolkit/44,Dashboard,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,45,Continuous Improvement Log,#/toolkit/45,Log,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,Template,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.,13,Monitor and Evaluate AI Systems
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,1,AI Vision & Principles Workshop,#/toolkit/1,Workshop,illustrative_example,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.,1,Vision & Guardrails
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,3,Equity Impact Assessment Checklist,#/toolkit/3,Checklist,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11.",1; 2; 3; 7; 11,Vision & Guardrails; Readiness Assessment; Establish AI Governance; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,3,Equity Impact Assessment Checklist,#/toolkit/3,Checklist,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11.",1; 2; 3; 7; 11,Vision & Guardrails; Readiness Assessment; Establish AI Governance; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,5,AI Environmental and Resource Impact Review,#/toolkit/5,Checklist,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8.",1; 7; 8,Vision & Guardrails; Prioritize Use Cases; Develop a Funding Strategy
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,Checklist,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13.",1; 7; 11; 12; 13,Vision & Guardrails; Prioritize Use Cases; Build and Deploy AI Solutions; Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,8,AI Project Charter,#/toolkit/8,Planning,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11.",2; 7; 11,Readiness Assessment; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,9,Data Quality Assessment Checklist,#/toolkit/9,Checklist,practical_exercise,"Use Data Quality Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Data Quality Assessment Checklist is relevant because the module addresses data concepts or artifacts connected to Play 2, Play 11.",2; 11,Readiness Assessment; Build and Deploy AI Solutions
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,44,Performance Monitoring Dashboard,#/toolkit/44,Dashboard,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,45,Continuous Improvement Log,#/toolkit/45,Log,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,Template,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.,13,Monitor and Evaluate AI Systems
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,5,AI Environmental and Resource Impact Review,#/toolkit/5,Checklist,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8.",1; 7; 8,Vision & Guardrails; Prioritize Use Cases; Develop a Funding Strategy
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,Checklist,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13.",1; 7; 11; 12; 13,Vision & Guardrails; Prioritize Use Cases; Build and Deploy AI Solutions; Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,44,Performance Monitoring Dashboard,#/toolkit/44,Dashboard,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,45,Continuous Improvement Log,#/toolkit/45,Log,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13.",12; 13,Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,Template,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.,13,Monitor and Evaluate AI Systems
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,"AI Use Case Intake, Risk Review, and System Inventory Template",#/toolkit/13,Template,illustrative_example,"Use AI Use Case Intake, Risk Review, and System Inventory Template to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Use Case Intake, Risk Review, and System Inventory Template is relevant because the module addresses governance concepts or artifacts connected to Play 3, Play 7, Play 12.",3; 7; 12,Establish AI Governance; Prioritize Use Cases; Execute Governance and Oversight
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,16,Incident Response Checklist,#/toolkit/16,Checklist,illustrative_example,"Use Incident Response Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Incident Response Checklist is relevant because the module addresses security concepts or artifacts connected to Play 3, Play 11, Play 12.",3; 11; 12,Establish AI Governance; Build and Deploy AI Solutions; Execute Governance and Oversight
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,17,Compliance Audit Checklist,#/toolkit/17,Checklist,illustrative_example,"Use Compliance Audit Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Compliance Audit Checklist is relevant because the module addresses compliance concepts or artifacts connected to Play 3, Play 12.",3; 12,Establish AI Governance; Execute Governance and Oversight
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,1,AI Vision & Principles Workshop,#/toolkit/1,Workshop,practical_exercise,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.,1,Vision & Guardrails
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,3,Equity Impact Assessment Checklist,#/toolkit/3,Checklist,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11.",1; 2; 3; 7; 11,Vision & Guardrails; Readiness Assessment; Establish AI Governance; Prioritize Use Cases; Build and Deploy AI Solutions
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,20,Community Engagement Planning,#/toolkit/20,Planning,illustrative_example,"Use Community Engagement Planning to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Community Engagement Planning is relevant because the module addresses engagement concepts or artifacts connected to Play 4, Play 7.",4; 7,Engage Stakeholders; Prioritize Use Cases
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,21,Stakeholder Mapping & RACI,#/toolkit/21,Template,illustrative_example,"Use Stakeholder Mapping & RACI to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,Stakeholder Mapping & RACI is relevant because the module addresses engagement concepts or artifacts connected to Play 4.,4,Engage Stakeholders
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,22,Missing Voices Analysis,#/toolkit/22,Checklist,practical_exercise,"Use Missing Voices Analysis to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Missing Voices Analysis is relevant because the module addresses equity concepts or artifacts connected to Play 4, Play 7, Play 13.",4; 7; 13,Engage Stakeholders; Prioritize Use Cases; Monitor and Evaluate AI Systems
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,47,Equity & Disparity Impact Monitoring,#/toolkit/47,Dashboard,practical_exercise,"Use Equity & Disparity Impact Monitoring to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,Equity & Disparity Impact Monitoring is relevant because the module addresses equity concepts or artifacts connected to Play 13.,13,Monitor and Evaluate AI Systems
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,4,AI Policy Landscape Scan,#/toolkit/4,Worksheet,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3.",1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,5,AI Environmental and Resource Impact Review,#/toolkit/5,Checklist,practical_exercise,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Use this tool to complete or strengthen the practical exercise for the module using fictional, de-identified, or generalized information.",Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8.",1; 7; 8,Vision & Guardrails; Prioritize Use Cases; Develop a Funding Strategy
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,Checklist,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13.",1; 7; 11; 12; 13,Vision & Guardrails; Prioritize Use Cases; Build and Deploy AI Solutions; Execute Governance and Oversight; Monitor and Evaluate AI Systems
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,8,AI Project Charter,#/toolkit/8,Planning,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",,Review this tool as an example of how the lesson concept appears in the AI Playbook toolkit.,"AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11.",2; 7; 11,Readiness Assessment; Prioritize Use Cases; Build and Deploy AI Solutions
