course_id,module_id,module_title,primary_track,primary_play_id,primary_play_title,secondary_play_ids,tool_id,tool_title,tool_route,relationship_type,use_context,rationale
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,Vision & Guardrails,3; 11,1,AI Vision & Principles Workshop,#/toolkit/1,supporting_reference,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,Vision & Guardrails,3; 11,2,Responsible AI Policy Template,#/toolkit/2,supporting_reference,"Use Responsible AI Policy Template to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Responsible AI Policy Template is relevant because the module addresses governance concepts or artifacts connected to Play 1, Play 3."
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 1; 7,3,Equity Impact Assessment Checklist,#/toolkit/3,illustrative_example,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 210,anl-210-machine-learning-basics-for-epidemiology-and-surveillance,Machine Learning Basics for Epidemiology and Surveillance,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 1; 7,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,44,Performance Monitoring Dashboard,#/toolkit/44,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13."
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,45,Continuous Improvement Log,#/toolkit/45,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13."
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,1,AI Vision & Principles Workshop,#/toolkit/1,illustrative_example,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,3,Equity Impact Assessment Checklist,#/toolkit/3,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 220,anl-220-predictive-analytics-and-risk-stratification,Predictive Analytics and Risk Stratification,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,1; 11; 3,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,3,Equity Impact Assessment Checklist,#/toolkit/3,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,5,AI Environmental and Resource Impact Review,#/toolkit/5,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,8,AI Project Charter,#/toolkit/8,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11."
ANL 230,anl-230-geospatial-ai-and-spatial-epidemiology,Geospatial AI and Spatial Epidemiology,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,9,Data Quality Assessment Checklist,#/toolkit/9,practical_exercise,"Use Data Quality Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Data Quality Assessment Checklist is relevant because the module addresses data concepts or artifacts connected to Play 2, Play 11."
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,44,Performance Monitoring Dashboard,#/toolkit/44,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13."
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,45,Continuous Improvement Log,#/toolkit/45,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13."
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,5,AI Environmental and Resource Impact Review,#/toolkit/5,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8."
ANL 240,anl-240-time-series-analysis-anomaly-detection-and-outbreak-signals,"Time-Series Analysis, Anomaly Detection, and Outbreak Signals",Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 1; 11,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13."
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,44,Performance Monitoring Dashboard,#/toolkit/44,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13."
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,45,Continuous Improvement Log,#/toolkit/45,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13."
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,13,"AI Use Case Intake, Risk Review, and System Inventory Template",#/toolkit/13,illustrative_example,"Use AI Use Case Intake, Risk Review, and System Inventory Template to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Use Case Intake, Risk Review, and System Inventory Template is relevant because the module addresses governance concepts or artifacts connected to Play 3, Play 7, Play 12."
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,16,Incident Response Checklist,#/toolkit/16,illustrative_example,"Use Incident Response Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Incident Response Checklist is relevant because the module addresses security concepts or artifacts connected to Play 3, Play 11, Play 12."
ANL 300,anl-300-advanced-model-validation-and-evaluation-for-public-health-ai,Advanced Model Validation and Evaluation for Public Health AI,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,12; 11; 3,17,Compliance Audit Checklist,#/toolkit/17,illustrative_example,"Use Compliance Audit Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Compliance Audit Checklist is relevant because the module addresses compliance concepts or artifacts connected to Play 3, Play 12."
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,1,AI Vision & Principles Workshop,#/toolkit/1,practical_exercise,"Use AI Vision & Principles Workshop to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Vision & Principles Workshop is relevant because the module addresses vision concepts or artifacts connected to Play 1.
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,3,Equity Impact Assessment Checklist,#/toolkit/3,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,20,Community Engagement Planning,#/toolkit/20,illustrative_example,"Use Community Engagement Planning to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Community Engagement Planning is relevant because the module addresses engagement concepts or artifacts connected to Play 4, Play 7."
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,21,Stakeholder Mapping & RACI,#/toolkit/21,illustrative_example,"Use Stakeholder Mapping & RACI to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",Stakeholder Mapping & RACI is relevant because the module addresses engagement concepts or artifacts connected to Play 4.
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,22,Missing Voices Analysis,#/toolkit/22,practical_exercise,"Use Missing Voices Analysis to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Missing Voices Analysis is relevant because the module addresses equity concepts or artifacts connected to Play 4, Play 7, Play 13."
ANL 310,anl-310-evaluation-of-generative-ai-outputs,Evaluation of Generative AI Outputs,Analytics and Modeling Track,4,Engage Stakeholders,7; 1; 13,47,Equity & Disparity Impact Monitoring,#/toolkit/47,practical_exercise,"Use Equity & Disparity Impact Monitoring to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",Equity & Disparity Impact Monitoring is relevant because the module addresses equity concepts or artifacts connected to Play 13.
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,5,AI Environmental and Resource Impact Review,#/toolkit/5,practical_exercise,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8."
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13."
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,8,AI Project Charter,#/toolkit/8,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11."
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,9,Data Quality Assessment Checklist,#/toolkit/9,practical_exercise,"Use Data Quality Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Data Quality Assessment Checklist is relevant because the module addresses data concepts or artifacts connected to Play 2, Play 11."
ANL 320,anl-320-synthetic-data-for-public-health-ai,Synthetic Data for Public Health AI,Analytics and Modeling Track,11,Build and Deploy AI Solutions,2; 1; 7,10,Tiered Data Classification for AI Use,#/toolkit/10,practical_exercise,"Use Tiered Data Classification for AI Use to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Tiered Data Classification for AI Use is relevant because the module addresses data governance concepts or artifacts connected to Play 2, Play 3, Play 11."
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,44,Performance Monitoring Dashboard,#/toolkit/44,practical_exercise,"Use Performance Monitoring Dashboard to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Performance Monitoring Dashboard is relevant because the module addresses monitoring concepts or artifacts connected to Play 12, Play 13."
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,45,Continuous Improvement Log,#/toolkit/45,illustrative_example,"Use Continuous Improvement Log to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Continuous Improvement Log is relevant because the module addresses improvement concepts or artifacts connected to Play 12, Play 13."
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,48,AI Evaluation & Outcomes Reporting,#/toolkit/48,practical_exercise,"Use AI Evaluation & Outcomes Reporting to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.",AI Evaluation & Outcomes Reporting is relevant because the module addresses evaluation concepts or artifacts connected to Play 13.
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,3,Equity Impact Assessment Checklist,#/toolkit/3,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,32,Vendor Evaluation Checklist,#/toolkit/32,practical_exercise,"Use Vendor Evaluation Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Vendor Evaluation Checklist is relevant because the module addresses procurement concepts or artifacts connected to Play 8, Play 11."
ANL 330,anl-330-equity-evaluation-for-ai-models,Equity Evaluation for AI Models,Analytics and Modeling Track,13,Monitor and Evaluate AI Systems,11; 8; 3,34,STLT AI Procurement and Vendor Addendum,#/toolkit/34,practical_exercise,"Use STLT AI Procurement and Vendor Addendum to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","STLT AI Procurement and Vendor Addendum is relevant because the module addresses procurement concepts or artifacts connected to Play 8, Play 11."
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,7; 1; 2,3,Equity Impact Assessment Checklist,#/toolkit/3,practical_exercise,"Use Equity Impact Assessment Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Equity Impact Assessment Checklist is relevant because the module addresses equity concepts or artifacts connected to Play 1, Play 2, Play 3, Play 7, Play 11."
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,7; 1; 2,4,AI Policy Landscape Scan,#/toolkit/4,illustrative_example,"Use AI Policy Landscape Scan to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Policy Landscape Scan is relevant because the module addresses legal and policy concepts or artifacts connected to Play 1, Play 2, Play 3."
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,7; 1; 2,5,AI Environmental and Resource Impact Review,#/toolkit/5,illustrative_example,"Use AI Environmental and Resource Impact Review to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Environmental and Resource Impact Review is relevant because the module addresses sustainability concepts or artifacts connected to Play 1, Play 7, Play 8."
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,7; 1; 2,6,Human-Centered AI Decision Rule Checklist,#/toolkit/6,illustrative_example,"Use Human-Centered AI Decision Rule Checklist to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","Human-Centered AI Decision Rule Checklist is relevant because the module addresses human oversight concepts or artifacts connected to Play 1, Play 7, Play 11, Play 12, Play 13."
ANL 340,anl-340-causal-inference-and-ai-in-public-health-decision-making,Causal Inference and AI in Public Health Decision-Making,Analytics and Modeling Track,11,Build and Deploy AI Solutions,7; 1; 2,8,AI Project Charter,#/toolkit/8,illustrative_example,"Use AI Project Charter to translate this lesson into a documented public health AI planning, governance, implementation, or monitoring artifact.","AI Project Charter is relevant because the module addresses project management concepts or artifacts connected to Play 2, Play 7, Play 11."
