course_id,module_id,module_title,primary_track,primary_play_id,primary_play_title,primary_relationship_type,how_primary_lesson_informs_play,primary_lesson_page_note,secondary_play_ids,secondary_play_titles
INT 100,understanding-ai,Introduction to AI for Public Health,shared-foundational,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply introduction to ai concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,3; 11,Establish AI Governance; Build and Deploy AI Solutions
ARC 200,arc-200-public-health-data-modernization-and-ai-architecture,Public Health Data Modernization and AI Architecture,Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply public health data modernization and ai architecture concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 7,Readiness Assessment; Establish AI Governance; Prioritize Use Cases
ARC 210,arc-210-data-pipelines-for-public-health-ai,Data Pipelines for Public Health AI,Technical Architecture Track,12,Execute Governance and Oversight,supports_play_execution,"This lesson helps learners apply data pipelines for public health ai concepts while completing Execute Governance and Oversight activities, decisions, documentation, or review steps.",This lesson informs Play 12 by helping learners connect the lesson topic to execute governance and oversight work in the AI Playbook sequence.,3; 13; 11,Establish AI Governance; Monitor and Evaluate AI Systems; Build and Deploy AI Solutions
ARC 220,arc-220-public-health-interoperability-hl7-v2-cda-fhir-and-apis,"Public Health Interoperability: HL7 v2, CDA, FHIR, and APIs",Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply public health interoperability: hl7 v2, cda, fhir, and apis concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 7; 1,Readiness Assessment; Prioritize Use Cases; Vision & Guardrails
ARC 230,arc-230-electronic-case-reporting-technical-workflow,Electronic Case Reporting Technical Workflow,Technical Architecture Track,13,Monitor and Evaluate AI Systems,supports_monitoring,"This lesson helps learners apply electronic case reporting technical workflow concepts while completing Monitor and Evaluate AI Systems activities, decisions, documentation, or review steps.",This lesson informs Play 13 by helping learners connect the lesson topic to monitor and evaluate ai systems work in the AI Playbook sequence.,1; 12; 7,Vision & Guardrails; Execute Governance and Oversight; Prioritize Use Cases
ARC 240,arc-240-elr-laboratory-data-quality-and-terminology-mapping,"ELR, Laboratory Data Quality, and Terminology Mapping",Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply elr, laboratory data quality, and terminology mapping concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 2; 1,Prioritize Use Cases; Readiness Assessment; Vision & Guardrails
ARC 250,arc-250-fhir-for-public-health-ai-use-cases,FHIR for Public Health AI Use Cases,Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply fhir for public health ai use cases concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
ARC 260,arc-260-apis-webhooks-and-event-driven-workflows,"APIs, Webhooks, and Event-Driven Workflows",Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply apis, webhooks, and event-driven workflows concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
ARC 300,arc-300-retrieval-augmented-generation-for-public-health-knowledge-work,Retrieval-Augmented Generation for Public Health Knowledge Work,Technical Architecture Track,3,Establish AI Governance,provides_governance_context,"This lesson helps learners apply retrieval-augmented generation for public health knowledge work concepts while completing Establish AI Governance activities, decisions, documentation, or review steps.",This lesson informs Play 3 by helping learners connect the lesson topic to establish ai governance work in the AI Playbook sequence.,12; 11; 1,Execute Governance and Oversight; Build and Deploy AI Solutions; Vision & Guardrails
ARC 310,arc-310-prompt-engineering-for-technical-public-health-work,Prompt Engineering for Technical Public Health Work,Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply prompt engineering for technical public health work concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
ARC 320,arc-320-agentic-workflow-design-and-orchestration,Agentic Workflow Design and Orchestration,Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply agentic workflow design and orchestration concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,3; 12; 4,Establish AI Governance; Execute Governance and Oversight; Engage Stakeholders
ARC 330,arc-330-cloud-containers-and-secure-deployment-basics,"Cloud, Containers, and Secure Deployment Basics",Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply cloud, containers, and secure deployment basics concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
ARC 340,arc-340-public-health-system-integration-patterns,Public Health System Integration Patterns,Technical Architecture Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply public health system integration patterns concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
COM 200,com-200-ai-for-public-health-communications-and-message-development,AI for Public Health Communications and Message Development,Communications Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai for public health communications and message development concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,3; 1; 2,Establish AI Governance; Vision & Guardrails; Readiness Assessment
COM 210,com-210-ai-assisted-translation-language-access-and-readability-review,"AI-Assisted Translation, Language Access, and Readability Review",Communications Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai-assisted translation, language access, and readability review concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
COM 220,com-220-public-comment-social-listening-and-community-feedback-analysis,"Public Comment, Social Listening, and Community Feedback Analysis",Communications Role-Based Track,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply public comment, social listening, and community feedback analysis concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,11; 2; 3,Build and Deploy AI Solutions; Readiness Assessment; Establish AI Governance
EPI 300,epi-300-ai-for-case-investigation-and-outbreak-response,AI for Case Investigation and Outbreak Response,Epidemiology Role-Based Track,7,Prioritize Use Cases,supports_play_execution,"This lesson helps learners apply ai for case investigation and outbreak response concepts while completing Prioritize Use Cases activities, decisions, documentation, or review steps.",This lesson informs Play 7 by helping learners connect the lesson topic to prioritize use cases work in the AI Playbook sequence.,11; 1; 2,Build and Deploy AI Solutions; Vision & Guardrails; Readiness Assessment
EPI 310,epi-310-ai-for-surveillance-signal-review-and-epidemiologic-judgment,AI for Surveillance Signal Review and Epidemiologic Judgment,Epidemiology Role-Based Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai for surveillance signal review and epidemiologic judgment concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
EPI 320,epi-320-ethical-use-of-ai-in-resource-prioritization-and-field-response,Ethical Use of AI in Resource Prioritization and Field Response,Epidemiology Role-Based Track,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply ethical use of ai in resource prioritization and field response concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,11; 7; 2,Build and Deploy AI Solutions; Prioritize Use Cases; Readiness Assessment
EXE 100,exe-100-executive-ai-briefing-for-public-health-leaders,Executive AI Briefing for Public Health Leaders,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply executive ai briefing for public health leaders concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
EXE 400,exe-400-executive-ai-decision-rights-and-accountability,Executive AI Decision Rights and Accountability,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply executive ai decision rights and accountability concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 3; 7,Vision & Guardrails; Establish AI Governance; Prioritize Use Cases
EXE 410,exe-410-ai-portfolio-strategy-and-use-case-prioritization,AI Portfolio Strategy and Use Case Prioritization,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai portfolio strategy and use case prioritization concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 8; 1,Prioritize Use Cases; Develop a Funding Strategy; Vision & Guardrails
EXE 420,exe-420-ai-investment-strategy-and-business-case-review,AI Investment Strategy and Business Case Review,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai investment strategy and business case review concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
EXE 430,exe-430-organizational-change-management-for-ai-adoption,Organizational Change Management for AI Adoption,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply organizational change management for ai adoption concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
EXE 440,exe-440-workforce-strategy-and-ai-role-design,Workforce Strategy and AI Role Design,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply workforce strategy and ai role design concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
EXE 450,exe-450-ai-sustainability-and-lifecycle-funding,AI Sustainability and Lifecycle Funding,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai sustainability and lifecycle funding concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,8; 3; 1,Develop a Funding Strategy; Establish AI Governance; Vision & Guardrails
EXE 460,exe-460-ai-governance-board-chair-training,AI Governance Board Chair Training,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai governance board chair training concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
EXE 470,exe-470-ai-crisis-communications-and-executive-response,AI Crisis Communications and Executive Response,Public Health Executive Leadership Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai crisis communications and executive response concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
GOV 300,gov-300-ai-security-prompt-injection-and-data-leakage,"AI Security, Prompt Injection, and Data Leakage",Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai security, prompt injection, and data leakage concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 7; 8,Vision & Guardrails; Prioritize Use Cases; Develop a Funding Strategy
GOV 310,gov-310-privacy-preserving-ai-and-de-identification,Privacy-Preserving AI and De-identification,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply privacy-preserving ai and de-identification concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
GOV 320,gov-320-ai-documentation-model-cards-and-system-cards,"AI Documentation, Model Cards, and System Cards",Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai documentation, model cards, and system cards concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
GOV 330,gov-330-data-governance-for-ai-ready-public-health-data,Data Governance for AI-Ready Public Health Data,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply data governance for ai-ready public health data concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 1,Readiness Assessment; Establish AI Governance; Vision & Guardrails
GOV 340,gov-340-ai-audit-readiness-and-evidence-management,AI Audit Readiness and Evidence Management,Governance and Security Track,12,Execute Governance and Oversight,supports_play_execution,"This lesson helps learners apply ai audit readiness and evidence management concepts while completing Execute Governance and Oversight activities, decisions, documentation, or review steps.",This lesson informs Play 12 by helping learners connect the lesson topic to execute governance and oversight work in the AI Playbook sequence.,3; 11; 13,Establish AI Governance; Build and Deploy AI Solutions; Monitor and Evaluate AI Systems
GOV 350,gov-350-identity-access-and-permissions-for-ai-workflows,"Identity, Access, and Permissions for AI Workflows",Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply identity, access, and permissions for ai workflows concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 2; 3,Vision & Guardrails; Readiness Assessment; Establish AI Governance
GOV 360,gov-360-third-party-ai-risk-management,Third-Party AI Risk Management,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply third-party ai risk management concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,1; 3; 8,Vision & Guardrails; Establish AI Governance; Develop a Funding Strategy
GOV 400,gov-400-ai-governance-charter-and-operating-model,AI Governance Charter and Operating Model,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai governance charter and operating model concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 3; 7,Readiness Assessment; Establish AI Governance; Prioritize Use Cases
GOV 410,gov-410-ai-risk-appetite-and-risk-tolerance-for-public-health,AI Risk Appetite and Risk Tolerance for Public Health,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply ai risk appetite and risk tolerance for public health concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 1; 3,Prioritize Use Cases; Vision & Guardrails; Establish AI Governance
GOV 420,gov-420-public-accountability-and-ai-transparency-reporting,Public Accountability and AI Transparency Reporting,Governance and Security Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply public accountability and ai transparency reporting concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 1; 2,Prioritize Use Cases; Vision & Guardrails; Readiness Assessment
GOV 430,gov-430-community-oversight-and-participatory-governance,Community Oversight and Participatory Governance,Governance and Security Track,7,Prioritize Use Cases,supports_play_execution,"This lesson helps learners apply community oversight and participatory governance concepts while completing Prioritize Use Cases activities, decisions, documentation, or review steps.",This lesson informs Play 7 by helping learners connect the lesson topic to prioritize use cases work in the AI Playbook sequence.,11; 1; 3,Build and Deploy AI Solutions; Vision & Guardrails; Establish AI Governance
INT 190,int-190-ai-for-social-good,AI for Social Good,Shared Foundational / Introductory Course,4,Engage Stakeholders,supports_public_communication,"This lesson helps learners apply ai for social good concepts while completing Engage Stakeholders activities, decisions, documentation, or review steps.",This lesson informs Play 4 by helping learners connect the lesson topic to engage stakeholders work in the AI Playbook sequence.,7; 1; 13,Prioritize Use Cases; Vision & Guardrails; Monitor and Evaluate AI Systems
INT 200,int-200-ai-use-case-intake-and-triage-basics,AI Use Case Intake and Triage Basics,Shared Foundational / Introductory Course,7,Prioritize Use Cases,supports_play_execution,"This lesson helps learners apply ai use case intake and triage basics concepts while completing Prioritize Use Cases activities, decisions, documentation, or review steps.",This lesson informs Play 7 by helping learners connect the lesson topic to prioritize use cases work in the AI Playbook sequence.,11; 3; 1,Build and Deploy AI Solutions; Establish AI Governance; Vision & Guardrails
OPS 200,ops-200-data-quality-engineering-for-ai,Data Quality Engineering for AI,Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply data quality engineering for ai concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,7; 1; 2,Prioritize Use Cases; Vision & Guardrails; Readiness Assessment
OPS 210,ops-210-record-linkage-entity-resolution-and-deduplication,"Record Linkage, Entity Resolution, and Deduplication",Operations and Data Quality Track,7,Prioritize Use Cases,supports_play_execution,"This lesson helps learners apply record linkage, entity resolution, and deduplication concepts while completing Prioritize Use Cases activities, decisions, documentation, or review steps.",This lesson informs Play 7 by helping learners connect the lesson topic to prioritize use cases work in the AI Playbook sequence.,11; 1; 2,Build and Deploy AI Solutions; Vision & Guardrails; Readiness Assessment
OPS 220,ops-220-human-factors-workflow-integration-and-usability-testing,"Human Factors, Workflow Integration, and Usability Testing",Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply human factors, workflow integration, and usability testing concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
OPS 230,ops-230-ai-workflow-standard-operating-procedures,AI Workflow Standard Operating Procedures,Operations and Data Quality Track,1,Vision & Guardrails,prepares_for_play,"This lesson helps learners apply ai workflow standard operating procedures concepts while completing Vision & Guardrails activities, decisions, documentation, or review steps.",This lesson informs Play 1 by helping learners connect the lesson topic to vision & guardrails work in the AI Playbook sequence.,11; 7; 3,Build and Deploy AI Solutions; Prioritize Use Cases; Establish AI Governance
OPS 240,ops-240-user-acceptance-testing-for-ai-supported-workflows,User Acceptance Testing for AI-Supported Workflows,Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply user acceptance testing for ai-supported workflows concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 1; 7,Readiness Assessment; Vision & Guardrails; Prioritize Use Cases
OPS 300,ops-300-mlops-and-llmops-for-public-health,MLOps and LLMOps for Public Health,Operations and Data Quality Track,11,Build and Deploy AI Solutions,supports_procurement_or_vendor_review,"This lesson helps learners apply mlops and llmops for public health concepts while completing Build and Deploy AI Solutions activities, decisions, documentation, or review steps.",This lesson informs Play 11 by helping learners connect the lesson topic to build and deploy ai solutions work in the AI Playbook sequence.,2; 13; 1,Readiness Assessment; Monitor and Evaluate AI Systems; Vision & Guardrails
